,Tweets,len,ID,USER,userName,User Location,Language,Date,Source,Likes,Retweets,Geo,Coordinates,Place
302,"The sheriff of Pinal County, Arizona has announced that he tested positive for coronavirus, a day after visiting the White House. https://t.co/AvjkDAkHoA",153,1273448139232440320,kylegriffin1,Kyle Griffin,"Manhattan, NY",,2020-06-18 02:51:10,Twitter Web App,34297,11558,,,
303,"Bolton’s book revealing a fumbling, bumbling, angry, corrupt, racist, vengeful, and ignorant President .. a President with a personality poised to botch a coming pandemic, much of which could have been mitigated by listening to simple science-My question-Why did he wait to share?",280,1273365169243148290,morningmika,Mika Brzezinski,"New York, New York",,2020-06-17 21:21:28,Twitter for iPad,46686,9547,,,
304,"If I wear a mask I lower my chances of getting, or giving, COVID.  If you wear a mask, you lower your chances of getting, or giving, COVID.  If we both wear masks. Neither of us is getting, or giving, COVID.  You know. Rocket science.",234,1273620137019535361,ZacksJerryRig,JerryRigEverything,,,2020-06-18 14:14:38,Twitter for Android,52945,10428,,,
305,"All the Depression  experts yesterday, who were the Covid experts day before, are today Defence and Warfare experts 🙏 #humanityrip",130,1273273896410603522,SonuSood,sonu sood,"Mumbai, India",,2020-06-17 15:18:47,Twitter for iPhone,75546,9583,,,
306,"Just thinking about the nurses wearing garbage bags, and using the same masks over &amp; over in NY during the worst of the pandemic, or public school teachers being disparaged &amp; denigrated in public discourse &amp; having to buy their own supplies, and still showing up to do their jobs. https://t.co/RdXrgAG4uK",316,1273429387308826624,Sifill_LDF,Sherrilyn Ifill,,,2020-06-18 01:36:39,Twitter Web App,31646,12398,,,
307,"So let me get this straight: We can't find the money to extend unemployment benefits during a pandemic, but we spend $115,000,000,000 a year on police?",151,1273368199883440135,RBReich,Robert Reich,"Berkeley, CA",,2020-06-17 21:33:31,Twitter Web App,25792,9373,,,
308,"The media has amplified the voices of fear and panic. They are using COVID-19 to push other agendas.  Please retweet this and follow my account as I am spreading facts and science. We need to amplify it   Together we can get back to normal.  And I mean normal, not a “new normal”.",280,1273197740500140032,drdavidsamadi,Dr. David Samadi,"Manhattan, New York",,2020-06-17 10:16:10,Twitter for iPhone,8848,6347,,,
309,"""She will never see her daughter grow""  Nurse Mary Agyapong was heavily pregnant when she died with coronavirus, doctors managed to save her baby  Her husband says she shouldn't have been working at the hospital during the pandemic https://t.co/v4UVdYJM2x https://t.co/aJmz22xxjT",279,1273218928207159299,BBCNews,BBC News (UK),London,,2020-06-17 11:40:22,SocialFlow,3515,1878,,,
310,Trump’s coronavirus coverup is the biggest scandal in American history.,71,1273217468534833153,funder,Scott Dworkin,,,2020-06-17 11:34:34,Twitter for iPhone,32623,7110,,,
311,”These outbreaks are manifestations of our dangerously unbalanced relationship with nature”.  Pandemics like COVID 19 are a result from destruction of nature according to UN and WHO. https://t.co/17vEJYO6t5,206,1273237559079063552,GretaThunberg,Greta Thunberg,Sverige,,2020-06-17 12:54:24,Twitter for iPhone,14313,4921,,,
312,Good morning! ☕ A federal judge has ordered Treasury Secretary Steven Mnuchin to give tribes hundreds of millions of dollars in emergency COVID-19 relief funds they should have gotten months ago. https://t.co/BY8TjNgJLV,219,1273239022069059584,jbendery,Jennifer Bendery,"Washington, DC",,2020-06-17 13:00:13,Twitter Web App,7674,3606,,,
313,History will treat elected officials who ban masks like the fools they are. School children will study how the president &amp; people like Governor Abbott make the pandemic worse than it needed to be &amp; let citizens needlessly die. https://t.co/ewb8iTL239,258,1273244410298368001,JoyceWhiteVance,Joyce Alene,Alabama,,2020-06-17 13:21:37,Twitter for iPhone,7096,2568,,,
314,"Access tools for transformation! #InnerEngineeringOnline is a powerful 7-session course with Sadhguru. Offered free for COVID warriors and at 50% for challenging times. Take the course in your own space, at your own pace at: https://t.co/QlLszUzyZi https://t.co/vScbCmL9Lt",272,1273208772379451393,ishafoundation,Isha Foundation,India,,2020-06-17 11:00:01,TweetDeck,3309,3237,,,
315,Politicians Must Stop Protecting Social Media Billionaires who are given a free pass while putting American democracy at risk. Facebook promotes extremist groups that KILL Federal Officials and fuels conspiracies that could spread COVID-19. #Abolish230 https://t.co/K36krPgmu5,276,1273220134304448517,JoeNBC,Joe Scarborough,,,2020-06-17 11:45:09,Twitter for iPhone,5258,1928,,,
316,Overheard: Has Covid-19 forced you to wear a mask and glasses at the same time? You may be entitled to condensation.,116,1273244193268346880,GeorgeTakei,George Takei,"Broadway - New York, NY",,2020-06-17 13:20:46,Twitter for iPhone,18815,2127,,,
317,U.S. vs. E.U. on confirmed COVID-19 cases https://t.co/ZL4DU10p8q,65,1273199329398992896,Morning_Joe,Morning Joe,"New York, NY",,2020-06-17 10:22:29,Twitter Web App,3295,1996,,,
318,"Covid outbreaks in selected states continue to expand. According to the Covid tracking project, FL, TX, and AZ had the largest confirmed case increases to date. https://t.co/9DOACH3dtz",184,1273196451565363200,ScottGottliebMD,"Scott Gottlieb, MD","Washington, DC",,2020-06-17 10:11:03,Twitter for iPhone,1582,899,,,
319,"Target is raising its starting wage to $15 an hour, making it the first major retailer to permanently increase pay during the pandemic https://t.co/8Np1CY0DuX",158,1273231003457409026,abhabhattarai,Abha Bhattarai,"Washington, D.C.",,2020-06-17 12:28:21,Twitter for iPhone,10987,1169,,,
320,"""Mnuchin is at the core of the Trump crime cabal along with Kushner, Pence and a few others. As predicted, they are using the tragedy of the coronavirus as pretext for a massive kleptocratic heist."" -- @gaslitnation https://t.co/3a7hOE2Koy",239,1273230054319890432,sarahkendzior,Sarah Kendzior,St. Louis,,2020-06-17 12:24:35,Twitter for Android,2834,1702,,,
321,If only we had a coronavirus task force https://t.co/1jLTXhct3v,63,1273232189937811457,MollyJongFast,Molly Jong-Fast🏡,,,2020-06-17 12:33:04,Twitter for iPhone,4222,1104,,,
322,"I wouldn’t accuse Trump of actually *wanting* more people to get sick and die. But he must know, despite his stupidity, that what he and Pence are saying and doing will certainly have that result. That makes their conduct not just monstrous but criminal.   https://t.co/BbO7rmEGX8",280,1273237014532497408,tribelaw,Laurence Tribe,,,2020-06-17 12:52:14,Twitter for iPhone,10918,4535,,,
323,Seriously how do we have a pandemic that is worse in Europe than in Asia and worse in the USA than in Europe and still people are saying the key variables are density and transit usage?,185,1273195526427680775,mattyglesias,Matthew Yglesias,"Washington, DC",,2020-06-17 10:07:22,Twitter for iPhone,1701,253,,,
324,".@AXA is investing in COVID-19 research, and in Israeli banks financing Israeli apartheid. Apartheid heightens Palestinians' COVID-19 risk.  Join Thomas from @BDS_switzerland in telling AXA to support human rights for all by divesting from apartheid: https://t.co/0t0p3mQ5yb https://t.co/DlpEjqvYNQ",298,1273193671366717440,BDSmovement,BDS movement,Global,,2020-06-17 10:00:00,Twitter Media Studio,80,61,,,
325,"This woman on the news just said, imagine if there was a medication that reduced your chances of getting COVID by 5x. Everyone would want that medication.  Well, that's wearing a mask.",184,1275808300119064577,JasmynBeKnowing,Jasmyn,LA ,,2020-06-24 15:09:36,Twitter Web App,316666,84645,,,
